changeType,show,season,episode,title,field,old,new,traktSlug
title_changed,Conviction,1,1,Pilot,title,,Pilot,conviction
traktSlug_changed,Conviction,1,1,Pilot,traktSlug,,conviction,conviction
traktIds_changed,Conviction,1,1,Pilot,traktIds,,"{'imdb': 'tt0756434', 'plex': {'guid': '5d9c13de7d06d9001fffd661'}, 'tmdb': 182407, 'tvdb': 306299, 'trakt': 194233}",conviction
overview_changed,Conviction,1,1,Pilot,overview,,"Nick Potter leaves his law firm to join the New York District Attorney's office which is currently investigating a known drug dealer. Meanwhile, Sara Finn loses key evidence for her case. Soon an assistant D.A. is gunned down and it turns out that another A.D.A. might be involved.",conviction
traktFirstAired_changed,Conviction,1,1,Pilot,traktFirstAired,,2006-03-04T03:00:00.000Z,conviction
title_changed,Conviction,1,2,Denial,title,,Denial,conviction
traktSlug_changed,Conviction,1,2,Denial,traktSlug,,conviction,conviction
traktIds_changed,Conviction,1,2,Denial,traktIds,,"{'imdb': '', 'plex': {'guid': '5d9c13de7d06d9001fffd669'}, 'tmdb': 182405, 'tvdb': 306300, 'trakt': 194234}",conviction
overview_changed,Conviction,1,2,Denial,overview,,Steele has to prosecute a 14 year old boy as an adult after he killed his brother with a baseball bat. Peluso must investigate why a high school athlete commited a hate crime against a gay man. Rossi tries to get a prostitute to tesify at a rape trial and Finn gets ready for her blind date.,conviction
traktFirstAired_changed,Conviction,1,2,Denial,traktFirstAired,,2006-03-11T03:00:00.000Z,conviction
title_changed,Conviction,1,3,Breakup,title,,Breakup,conviction
traktSlug_changed,Conviction,1,3,Breakup,traktSlug,,conviction,conviction
traktIds_changed,Conviction,1,3,Breakup,traktIds,,"{'imdb': '', 'plex': {'guid': '5d9c13de7d06d9001fffd671'}, 'tmdb': 182406, 'tvdb': 306301, 'trakt': 194235}",conviction
overview_changed,Conviction,1,3,Breakup,overview,,"Finn has to investigate why a mother said her daughter was dying of cancer because the autopsy done after she supposedly commited suicide proves otherwise. Potter's friend is arrested for cocaine possession, but when his friend comes to him for help, Potter sends him to Desmond. Meanwhile, Cabot begins an anti-drug campaign.",conviction
traktFirstAired_changed,Conviction,1,3,Breakup,traktFirstAired,,2006-03-18T03:00:00.000Z,conviction
title_changed,Conviction,1,4,Indebted,title,,Indebted,conviction
traktSlug_changed,Conviction,1,4,Indebted,traktSlug,,conviction,conviction
traktIds_changed,Conviction,1,4,Indebted,traktIds,,"{'imdb': '', 'plex': {'guid': '5d9c13de7d06d9001fffd675'}, 'tmdb': 182400, 'tvdb': 306484, 'trakt': 194236}",conviction
overview_changed,Conviction,1,4,Indebted,overview,,"Desmond has to prosecute a well-known rap producer who has been charged with murder.  Nick Potter goes on a ride along with two ghetto cops, landing Potter in a meeting with Internal Affairs; Jessica Rossi prosecutes a wife beater, while wrestling with the same problem at home, when her mother tells her she's leaving her father for being abusive, and Christina Finn gets caught up in a case with a spoiled diplomat's son and a strip club.",conviction
traktFirstAired_changed,Conviction,1,4,Indebted,traktFirstAired,,2006-03-25T03:00:00.000Z,conviction
title_changed,Conviction,1,5,Savasana,title,,Savasana,conviction
traktSlug_changed,Conviction,1,5,Savasana,traktSlug,,conviction,conviction
traktIds_changed,Conviction,1,5,Savasana,traktIds,,"{'imdb': '', 'plex': {'guid': None}, 'tmdb': 182404, 'tvdb': 306485, 'trakt': 194237}",conviction
overview_changed,Conviction,1,5,Savasana,overview,,"Finn has to deal with a shaken baby case. Even though his boss wants him to settle a case, Potter says no,  but wins anyway. Desmond has a one night stand with a woman from the courthouse. Steele ends up canceling a date with Rossi, but then gets intimate with Cabot moments before she makes a big announcement.",conviction
traktFirstAired_changed,Conviction,1,5,Savasana,traktFirstAired,,2006-04-01T03:00:00.000Z,conviction
title_changed,Conviction,1,6,Madness,title,,Madness,conviction
traktSlug_changed,Conviction,1,6,Madness,traktSlug,,conviction,conviction
traktIds_changed,Conviction,1,6,Madness,traktIds,,"{'imdb': '', 'plex': {'guid': '5d9c13de7d06d9001fffd679'}, 'tmdb': 182422, 'tvdb': 306486, 'trakt': 194238}",conviction
overview_changed,Conviction,1,6,Madness,overview,,"Brian Peluso (Eric Balfour) gets pressure from his recently reunited girlfriend; Christina Finn (Julianne Nicholson), who is light on case work, is loaned out to a hard-driving, nasty prosecutor; Alexandra Cabot (Stephanie March) feels the pressure to hire an image consultant; Nick Potter (Jordan Bridges) fills in for Desmond on a bail reduction case that has tragic consequences, and Jessica Rossi (Milena Govich) finds herself in the middle of a family battle when prosecuting a deaf girl's boyfriend for stabbing the girl's father.",conviction
traktFirstAired_changed,Conviction,1,6,Madness,traktFirstAired,,2006-04-08T02:00:00.000Z,conviction
title_changed,Conviction,1,7,True Love,title,,True Love,conviction
traktSlug_changed,Conviction,1,7,True Love,traktSlug,,conviction,conviction
traktIds_changed,Conviction,1,7,True Love,traktIds,,"{'imdb': '', 'plex': {'guid': '5d9c13de1cae62001f777c76'}, 'tmdb': 182417, 'tvdb': 306487, 'trakt': 194239}",conviction
overview_changed,Conviction,1,7,True Love,overview,,"Brian Peluso (Eric Balfour) gets ready to move in with his girlfriend until he learns of her infidelity; Jessica Rossi's (Milena Govich) uncertain case involves a model who claims she was beaten and raped by a high-profile professional; Jim Steele's (Anson Mount) case involves a gay couple who recently broke up and the ""suicide"" of one is questioned when his former partner is charged with murder and Christina Finn (Julianne Nicholson) meets a hot doctor when he becomes her star witness for a case.

Read more: Listings | TheFutonCritic.com - The Web's Best Television Resource http://www.thefutoncritic.com/listings/20060405nbc02/#ixzz5c2jX1bjI",conviction
traktFirstAired_changed,Conviction,1,7,True Love,traktFirstAired,,2006-04-12T02:00:00.000Z,conviction
title_changed,Conviction,1,8,Downhill,title,,Downhill,conviction
traktSlug_changed,Conviction,1,8,Downhill,traktSlug,,conviction,conviction
